playerID,yearID,stint,Glf,Gcf,Grf
allisar01,1871,1,0,29,0
ansonca01,1871,1,1,0,0
armstbo01,1871,1,0,11,1
barkeal01,1871,1,1,0,0
barrofr01,1871,1,13,0,4
battijo01,1871,1,0,0,1
bealsto01,1871,1,4,0,4
bechtge01,1871,1,1,3,11
berkena01,1871,1,0,0,1
berryto01,1871,1,0,0,1
berthha01,1871,1,11,1,0
birdge01,1871,1,1,25,0
birdsda01,1871,1,0,0,27
burrohe01,1871,1,4,0,4
conefr01,1871,1,18,0,1
connone01,1871,1,0,0,3
cravebi01,1871,1,0,0,1
cuthbne01,1871,1,27,0,0
deaneha01,1871,1,6,0,0
donnepe01,1871,1,2,1,6
eggleda01,1871,1,0,33,0
ewellge01,1871,1,0,0,1
flynncl01,1871,1,0,0,8
foleyto01,1871,1,2,9,5
foranji01,1871,1,3,1,0
glennjo01,1871,1,1,0,25
gouldch01,1871,1,0,0,1
hallge01,1871,1,1,31,0
hamra01,1871,1,19,0,0
hastisc01,1871,1,2,1,0
hatfijo01,1871,1,24,0,0
heubege01,1871,1,0,0,16
highadi01,1871,1,0,0,8
hodesch01,1871,1,0,3,1
jackssa01,1871,1,0,1,0
johnsca01,1871,1,0,0,6
kellybi01,1871,1,1,4,14
kimbage01,1871,1,2,1,7
kingma01,1871,1,1,10,0
kingst01,1871,1,29,0,0
lennobi01,1871,1,0,0,1
leonaan01,1871,1,11,0,0
mackde01,1871,1,1,0,0
mcderjo01,1871,1,0,2,0
mcveyca01,1871,1,0,0,5
millsch01,1871,1,0,0,4
minched01,1871,1,9,0,0
nortofr01,1871,1,0,0,1
paborch01,1871,1,28,0,0
patteda01,1871,1,9,0,22
pikeli01,1871,1,0,0,18
pinkhed01,1871,1,0,0,8
prattal01,1871,1,5,0,2
sagerpo01,1871,1,4,0,0
senseco01,1871,1,0,25,0
simmojo01,1871,1,0,9,17
spaldal01,1871,1,0,9,0
stirega01,1871,1,0,0,25
suttoez01,1871,1,0,1,1
treacfr01,1871,1,25,0,0
whitede01,1871,1,0,0,1
whiteel01,1871,1,0,0,15
wrighha01,1871,1,0,30,0
yorkto01,1871,1,0,29,0
zettlge01,1871,1,0,0,3
allenha01,1872,1,4,3,2
allisan01,1872,1,0,0,1
allisar01,1872,1,0,17,2
allisbi01,1872,1,0,1,1
arnolbi01,1872,1,0,0,2
barre01,1872,1,8,0,0
bassjo01,1872,1,0,0,2
bealsto01,1872,1,0,2,0
beaveed01,1872,1,1,0,0
bechtge01,1872,1,13,0,37
bellast01,1872,1,0,6,0
bentlcy01,1872,1,0,0,7
bielaos01,1872,1,0,0,10
birdsda01,1872,1,4,0,4
boothed01,1872,1,0,3,1
boothed01,1872,2,6,0,8
boydbi01,1872,1,0,0,1
brainas01,1872,2,0,0,1
brownol01,1872,1,0,0,4
